Test;Time
com.amaze.filemanager.activities.testcase1_020;6145
com.amaze.filemanager.activities.testcase1_020;5913
com.amaze.filemanager.activities.testcase1_020;5877
com.amaze.filemanager.activities.testcase1_020;5941
com.amaze.filemanager.activities.testcase1_020;5840
com.amaze.filemanager.activities.testcase1_020;5876
com.amaze.filemanager.activities.testcase1_020;6010
com.amaze.filemanager.activities.testcase1_020;5910
com.amaze.filemanager.activities.testcase1_020;5970
com.amaze.filemanager.activities.testcase1_020;5844
com.amaze.filemanager.activities.testcase1_021;3675
com.amaze.filemanager.activities.testcase1_021;3607
com.amaze.filemanager.activities.testcase1_021;3607
com.amaze.filemanager.activities.testcase1_021;3539
com.amaze.filemanager.activities.testcase1_021;3381
com.amaze.filemanager.activities.testcase1_021;3552
com.amaze.filemanager.activities.testcase1_021;3454
com.amaze.filemanager.activities.testcase1_021;3601
com.amaze.filemanager.activities.testcase1_021;3537
com.amaze.filemanager.activities.testcase1_021;3556
com.amaze.filemanager.activities.testcase1_022;4393
com.amaze.filemanager.activities.testcase1_022;4394
com.amaze.filemanager.activities.testcase1_022;4377
com.amaze.filemanager.activities.testcase1_022;4283
com.amaze.filemanager.activities.testcase1_022;4377
com.amaze.filemanager.activities.testcase1_022;4300
com.amaze.filemanager.activities.testcase1_022;4326
com.amaze.filemanager.activities.testcase1_022;4344
com.amaze.filemanager.activities.testcase1_022;4343
com.amaze.filemanager.activities.testcase1_022;4310
com.amaze.filemanager.activities.testcase1_023;1750
com.amaze.filemanager.activities.testcase1_023;1499
com.amaze.filemanager.activities.testcase1_023;1500
com.amaze.filemanager.activities.testcase1_023;1551
com.amaze.filemanager.activities.testcase1_023;1555
com.amaze.filemanager.activities.testcase1_023;1466
com.amaze.filemanager.activities.testcase1_023;1517
com.amaze.filemanager.activities.testcase1_023;1486
com.amaze.filemanager.activities.testcase1_023;1503
com.amaze.filemanager.activities.testcase1_023;1485
com.amaze.filemanager.activities.testcase1_024;2304
com.amaze.filemanager.activities.testcase1_024;2286
com.amaze.filemanager.activities.testcase1_024;2285
com.amaze.filemanager.activities.testcase1_024;2286
com.amaze.filemanager.activities.testcase1_024;2269
com.amaze.filemanager.activities.testcase1_024;2269
com.amaze.filemanager.activities.testcase1_024;2254
com.amaze.filemanager.activities.testcase1_024;2268
com.amaze.filemanager.activities.testcase1_024;2206
com.amaze.filemanager.activities.testcase1_024;2269
com.amaze.filemanager.activities.testcase1_025;5118
com.amaze.filemanager.activities.testcase1_025;4619
com.amaze.filemanager.activities.testcase1_025;4619
com.amaze.filemanager.activities.testcase1_025;4719
com.amaze.filemanager.activities.testcase1_025;4604
com.amaze.filemanager.activities.testcase1_025;4685
com.amaze.filemanager.activities.testcase1_025;4638
com.amaze.filemanager.activities.testcase1_025;4633
com.amaze.filemanager.activities.testcase1_025;4621
com.amaze.filemanager.activities.testcase1_025;4690
com.amaze.filemanager.activities.testcase1_026;5417
com.amaze.filemanager.activities.testcase1_026;4847
com.amaze.filemanager.activities.testcase1_026;4858
com.amaze.filemanager.activities.testcase1_026;4925
com.amaze.filemanager.activities.testcase1_026;4901
com.amaze.filemanager.activities.testcase1_026;4905
com.amaze.filemanager.activities.testcase1_026;4881
com.amaze.filemanager.activities.testcase1_026;4915
com.amaze.filemanager.activities.testcase1_026;4841
com.amaze.filemanager.activities.testcase1_026;4813
com.amaze.filemanager.activities.testcase1_027;5328
com.amaze.filemanager.activities.testcase2_000;1750
com.amaze.filemanager.activities.testcase2_000;1707
com.amaze.filemanager.activities.testcase2_000;1773
com.amaze.filemanager.activities.testcase2_000;1756
com.amaze.filemanager.activities.testcase2_000;1755
com.amaze.filemanager.activities.testcase2_000;1750
com.amaze.filemanager.activities.testcase2_000;1715
com.amaze.filemanager.activities.testcase2_000;1749
com.amaze.filemanager.activities.testcase2_000;1790
com.amaze.filemanager.activities.testcase2_000;1733
com.amaze.filemanager.activities.testcase2_002;5720
com.amaze.filemanager.activities.testcase2_002;5511
com.amaze.filemanager.activities.testcase2_002;5644
com.amaze.filemanager.activities.testcase2_002;5279
